HexTagData,Antenna,Date,Time,MiniStockSerialNumber
300833B2DDD9014035050000,4,2020-06-07,15:46:51,b1951afa
0504300800000000000012A5,4,2018-02-03,18:51:55,b1951afa
03032008000000000000156B,4,2018-02-03,18:51:55,b1951afa
E200322F81B963311307458B,4,2018-02-03,18:51:54,b1951afa
E2003411B802011357281004,4,2018-02-03,18:51:54,b1951afa
050000000000000000003411,4,2018-02-03,18:51:54,b1951afa
E2003411B802011111363469,4,2018-02-03,16:35:01,b1951afa
E2003411B802011111363415,4,2018-02-03,18:31:00,b1951afa
E200322F6A2C7DB1409A41F6,4,2018-02-03,16:22:20,b1951afa
0504300800000000000012A7,4,2018-02-03,16:34:57,b1951afa
000000000000000000003462,4,2018-02-03,16:34:46,b1951afa
4A6F686E0000000000000000,4,2018-02-03,18:48:58,b1951afa
3008048D159E28000000010A,4,2018-02-03,16:34:16,b1951afa
AD82010046A001B05E0000A9,4,2018-02-03,18:06:57,b1951afa
E200322F81CB65B113078D95,4,2018-02-03,16:29:38,b1951afa
E20019C60906AAF1135D1AAA,4,2018-02-03,16:07:37,b1951afa
